binary	address	name	code_origin	module_candidate	candidate_confidence	assignment_basis	direct_callers	direct_callees	follow_up_module	review_status
Z_DAT	0x24496	sub_24496	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x24496,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24559	sub_24559	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x24559,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24667	sub_24667	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x24559,0x24667,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x246F9	sub_246F9	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x24559,0x246F9,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x247DD	sub_247DD	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35	0x20C32,0x247DD,0x3CF45,0x3DA66,0x3DABF,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96	framework_assignment	pending_assignment
Z_DAT	0x24A02	sub_24A02	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26208	0x24A02,0x24CE8,0x24F8C,0x2558B,0x3D6D1,0x3ED1E,0x3EE90	framework_assignment	pending_assignment
Z_DAT	0x24C23	sub_24C23	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35	0x3DA66,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24C8D	sub_24C8D	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35,0x25D0E,0x2E659,0x2EB49,0x31241	0x3DB2B,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24CE8	sub_24CE8	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x24278,0x24A02,0x26B5E	0x24D43,0x24DB8,0x24E2D,0x24EA2,0x24F17,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24D43	sub_24D43	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x24CE8	0x24D43,0x3DABF,0x3DB07,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24DB8	sub_24DB8	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x24CE8	0x24DB8,0x3DABF,0x3DB07,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24E2D	sub_24E2D	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x24CE8	0x24E2D,0x3DABF,0x3DB07,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24EA2	sub_24EA2	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x24CE8	0x24EA2,0x3DABF,0x3DB07,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24F17	sub_24F17	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x24CE8	0x24F17,0x3DABF,0x3DB07,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24F8C	sub_24F8C	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x24A02,0x26B5E	0x20C32,0x24F8C,0x3ED1E,0x3EE90,0x3EF96	framework_assignment	pending_assignment
Z_DAT	0x2558B	sub_2558B	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35,0x212C0,0x21496,0x21AC0,0x22090,0x22A59,0x24A02,0x25911,0x25BBA,0x25D0E,0x26208,0x26B5E,0x2A186,0x2A86C,0x2B483	0x20B22,0x2558B,0x3D612,0x3D643,0x3D88A,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x25911	sub_25911	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x2558B,0x25911,0x28E40,0x3CC97,0x3CD17,0x3D6D1,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x25AB7	sub_25AB7	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E	0x25AB7,0x3DA40,0x3DA66,0x3DABF,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E	framework_assignment	pending_assignment
