binary	address	end	size	name	instruction_count	basic_blocks	direct_callers	direct_callees	code_origin
Z_DAT	0x22090	0x22A59	2505	sub_22090	635	126	0x21496,0x21AC0,0x22066,0x25BBA,0x2A86C	0x22090,0x2558B,0x269AB,0x29D2D,0x2CEBF,0x3AA85,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A,0x3EF7D	game_or_library_unclassified
Z_DAT	0x22A59	0x2399E	3909	sub_22A59	965	89	0x22066	0x20C32,0x22A59,0x2558B,0x29D2D,0x2CEBF,0x2D590,0x3AA85,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A	game_or_library_unclassified
Z_DAT	0x2399E	0x23AA6	264	sub_2399E	49	18	0x20D35,0x26B5E,0x28E40	0x2399E,0x3D612,0x3ED1E	game_or_library_unclassified
Z_DAT	0x23AA6	0x23B3E	152	sub_23AA6	24	5	0x20D35	0x23AA6,0x3ED1E	game_or_library_unclassified
Z_DAT	0x23B3E	0x23C98	346	sub_23B3E	91	25	0x20D35	0x23B3E,0x3D612,0x3ED1E	game_or_library_unclassified
Z_DAT	0x23C98	0x23F28	656	sub_23C98	167	39	0x20D35	0x23C98,0x241DC,0x24278,0x24417,0x24496,0x24559,0x24667,0x246F9,0x24F8C,0x25911,0x26A92,0x3ED1E	game_or_library_unclassified
Z_DAT	0x23F28	0x241DC	692	sub_23F28	166	45	0x20D35	0x23C98,0x23F28,0x2422A,0x24278,0x24417,0x24496,0x24559,0x24667,0x246F9,0x25911,0x26A92,0x3ED1E	game_or_library_unclassified
Z_DAT	0x241DC	0x2422A	78	sub_241DC	14	5	0x23C98	0x241DC,0x3ED1E	game_or_library_unclassified
Z_DAT	0x2422A	0x24278	78	sub_2422A	14	5	0x23F28	0x2422A,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24278	0x24417	415	sub_24278	84	35	0x23C98,0x23F28	0x24278,0x24CE8,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24417	0x24496	127	sub_24417	36	7	0x23C98,0x23F28	0x24417,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24496	0x24559	195	sub_24496	54	15	0x23C98,0x23F28	0x24496,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24559	0x24667	270	sub_24559	75	16	0x23C98,0x23F28	0x24559,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24667	0x246F9	146	sub_24667	41	12	0x23C98,0x23F28	0x24559,0x24667,0x3ED1E	game_or_library_unclassified
Z_DAT	0x246F9	0x247DD	228	sub_246F9	53	14	0x23C98,0x23F28	0x24559,0x246F9,0x3ED1E	game_or_library_unclassified
Z_DAT	0x247DD	0x24A02	549	sub_247DD	137	5	0x20D35	0x20C32,0x247DD,0x3CF45,0x3DA66,0x3DABF,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96	game_or_library_unclassified
Z_DAT	0x24A02	0x24C23	545	sub_24A02	101	21	0x26208	0x24A02,0x24CE8,0x24F8C,0x2558B,0x3D6D1,0x3ED1E,0x3EE90	game_or_library_unclassified
Z_DAT	0x24C23	0x24C8D	106	sub_24C23	23	1	0x20D35	0x3DA66,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24C8D	0x24CE8	91	sub_24C8D	23	1	0x20D35,0x25D0E,0x2E659,0x2EB49,0x31241	0x3DB2B,0x3ED1E	game_or_library_unclassified
